,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2016,RECEITAS CORRENTES,1703.0040391636567,1703.0040391636567,261.92094105199885,15.38,261.92094105199885,15.38,1441.0830981116578,1,2016,2016-02-20,83.58951401542743
abril 2016,RECEITAS CORRENTES,1685.3374669523023,1685.3374669523023,309.9135490300697,18.39,569.1173824814116,33.77,1116.2200844708905,2,2016,2016-04-20,84.46574219786739
junho 2016,RECEITAS CORRENTES,1666.3391632885887,1666.3391632885887,258.66888085621594,15.52,821.3707738201293,49.29,844.9683894684595,3,2016,2016-06-20,85.42875492349346
agosto 2016,RECEITAS CORRENTES,1650.3804331610747,1650.3804331610747,251.9594973696982,15.27,1065.4639047244593,64.56,584.9165284366153,4,2016,2016-08-20,86.25482775952575
outubro 2016,RECEITAS CORRENTES,1644.7725724796278,1644.7725724796278,239.74885907964122,14.58,1301.5924026929592,79.14,343.1801697866687,5,2016,2016-10-20,86.54891404553938
dezembro 2016,RECEITAS CORRENTES,1636.886545903617,1636.886545903617,281.76812880978207,17.21,1577.1199165687894,96.35,59.76662933482743,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,RECEITAS CORRENTES,1726.9216106181188,1726.9216106181188,297.5233762739689,17.23,262.8613016536949,15.22,1464.060308964424,1,2017,2017-02-20,87.5866475177533
abril 2017,RECEITAS CORRENTES,1720.1926605623455,1720.1926605623455,323.90215439726364,18.83,585.739216989065,34.05,1134.4534435732805,2,2017,2017-04-20,87.92926389451829
junho 2017,RECEITAS CORRENTES,1718.8042414602257,1718.8042414602257,267.98040764763545,15.59,853.2468569424921,49.64,865.5573845177338,3,2017,2017-06-20,88.00029156985306
agosto 2017,RECEITAS CORRENTES,1711.4212209692878,1711.4212209692878,258.38780561933714,15.1,1107.969591882644,64.74,603.4516290866438,4,2017,2017-08-20,88.37992222296648
outubro 2017,RECEITAS CORRENTES,1701.506478638271,1701.506478638271,256.89089271279875,15.1,1101.5508138053822,64.74,599.9556648328887,5,2017,2017-10-20,88.89491535821291
dezembro 2017,RECEITAS CORRENTES,1689.2765945518922,1689.2765945518922,263.31402334966896,15.59,1611.4147708350756,95.39,77.8618237168168,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,RECEITAS CORRENTES,1784.1280828623499,1784.1280828623499,290.15852893437756,16.26,290.15852893437756,16.26,1493.9695539279724,1,2018,2018-02-20,90.08718518803816
abril 2018,RECEITAS CORRENTES,1778.6008183790805,1778.6008183790805,307.2574051405857,17.28,596.517017149154,33.54,1182.0838012299266,2,2018,2018-04-20,90.36714440875939
junho 2018,RECEITAS CORRENTES,1749.1656862752343,1749.1656862752343,271.15147079640786,15.5,857.7963699185502,49.04,891.3693163566838,3,2018,2018-06-20,91.88785159755834
agosto 2018,RECEITAS CORRENTES,1744.9624936060852,1744.9624936060852,256.9417034887787,14.72,1112.6768144643056,63.77,632.2856791417795,4,2018,2018-08-20,92.10918721115112
outubro 2018,RECEITAS CORRENTES,1728.7720336054103,1728.7720336054103,255.12827762756785,14.76,1357.481231536548,78.52,371.2908020688625,5,2018,2018-10-20,92.97181691723601
dezembro 2018,RECEITAS CORRENTES,1729.803851193668,1729.803851193668,269.429561587937,15.58,1627.7210057975276,94.1,102.08284539614036,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,RECEITAS CORRENTES,1827.7516158039402,1827.7516158039402,294.66904746504866,16.12,294.66904746504866,16.12,1533.0825683388914,1,2019,2019-02-20,93.61720061986506
abril 2019,RECEITAS CORRENTES,1803.7034308569039,1803.7034308569039,330.23762205502175,18.31,621.0296351953109,34.43,1182.673795661593,2,2019,2019-04-20,94.86536798275618
junho 2019,RECEITAS CORRENTES,1801.1784805351504,1801.1784805351504,258.2441047624453,14.34,878.4043792023355,48.77,922.7741013328149,3,2019,2019-06-20,94.99835332762892
agosto 2019,RECEITAS CORRENTES,1795.7787095565693,1795.7787095565693,271.87656476051626,15.14,1147.6475666903975,63.91,648.131142866172,4,2019,2019-08-20,95.28400620266395
outubro 2019,RECEITAS CORRENTES,1794.7005240193512,1794.7005240193512,301.5931957769274,16.8,1448.5517148682839,80.71,346.1488091510676,5,2019,2019-10-20,95.34124908861676
dezembro 2019,RECEITAS CORRENTES,1765.013754506364,1765.013754506364,304.6465812749264,17.26,1729.2372952344738,97.97,35.776459271890175,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,RECEITAS CORRENTES,1833.3833830218393,1833.3833830218393,303.4845347499521,16.55,303.4845347499521,16.55,1529.8988482718873,1,2020,2020-02-20,97.3923412056326
abril 2020,RECEITAS CORRENTES,1837.7795246991511,1837.7795246991511,331.97817977705193,18.06,636.1904188489636,34.62,1201.5891058501875,2,2020,2020-04-20,97.15936955453364
junho 2020,RECEITAS CORRENTES,1839.966702867086,1839.966702867086,266.8369684121149,14.5,903.784530202359,49.12,936.1821726647269,3,2020,2020-06-20,97.04387569718891
agosto 2020,RECEITAS CORRENTES,1828.9427999621962,1828.9427999621962,303.2677169779242,16.58,1201.63734869741,65.7,627.3054512647861,4,2020,2020-08-20,97.62880501439999
outubro 2020,RECEITAS CORRENTES,1801.6093229744727,1801.6093229744727,289.6042370901019,16.07,1473.2831636767228,81.78,328.32615929775,5,2020,2020-10-20,99.11
fevereiro 2016,Impostos,387.1298975853309,387.1298975853309,35.148520991015076,9.08,35.148520991015076,9.08,351.9813765943158,1,2016,2016-02-20,83.58951401542743
abril 2016,Impostos,383.1139010676572,383.1139010676572,90.81363639747512,23.7,125.59753471588924,32.78,257.51636635176794,2,2016,2016-04-20,84.46574219786739
junho 2016,Impostos,378.7951729950917,378.7951729950917,57.10263960148694,15.07,181.28435098778436,47.86,197.5108220073074,3,2016,2016-06-20,85.42875492349346
agosto 2016,Impostos,375.16740616789707,375.16740616789707,55.5120348897944,14.8,235.06020389404665,62.65,140.1072022738504,4,2016,2016-08-20,86.25482775952575
outubro 2016,Impostos,373.892617335131,373.892617335131,53.01844754037668,14.18,287.2799356664077,76.83,86.61268166872333,5,2016,2016-10-20,86.54891404553938
dezembro 2016,Impostos,372.09995179205595,372.09995179205595,63.67351977776227,17.11,349.5760630646238,93.95,22.523888727432197,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,Impostos,397.891699107859,397.891699107859,36.4070904683691,9.15,43.429767525112524,10.91,354.46193158274644,1,2017,2017-02-20,87.5866475177533
abril 2017,Impostos,396.3413141022852,396.3413141022852,95.1192742160715,24.0,138.3798176520224,34.91,257.9614964502628,2,2017,2017-04-20,87.92926389451829
junho 2017,Impostos,396.02141513743385,396.02141513743385,57.07228435730041,14.41,195.34041150710135,49.33,200.6810036303325,3,2017,2017-06-20,88.00029156985306
agosto 2017,Impostos,394.3203289099959,394.3203289099959,54.688446317098006,13.87,249.1897848069953,63.19,145.1305441030006,4,2017,2017-08-20,88.37992222296648
outubro 2017,Impostos,392.0359208349282,392.0359208349282,54.371620834818096,13.87,247.74615861046863,63.19,144.28976222445957,5,2017,2017-10-20,88.89491535821291
dezembro 2017,Impostos,389.2180920874614,389.2180920874614,59.95562222373584,15.4,361.71204937445157,92.93,27.506042713009858,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,Impostos,463.93945945543396,463.93945945543396,53.869914692865585,11.61,53.869914692865585,11.61,410.06954476256834,1,2018,2018-02-20,90.08718518803816
abril 2018,Impostos,462.50216573125186,462.50216573125186,108.44437050785123,23.45,162.14739512760002,35.06,300.35477060365184,2,2018,2018-04-20,90.36714440875939
junho 2018,Impostos,454.8479398892659,454.8479398892659,65.24805743917636,14.35,224.71197803637267,49.4,230.13596185289325,3,2018,2018-06-20,91.88785159755834
agosto 2018,Impostos,453.7549539351501,453.7549539351501,62.56855077646684,13.79,286.7405526709774,63.19,167.01440126417273,4,2018,2018-08-20,92.10918721115112
outubro 2018,Impostos,449.5448339705582,449.5448339705582,61.63205516464107,13.71,345.71211429171603,76.9,103.83271967884214,5,2018,2018-10-20,92.97181691723601
dezembro 2018,Impostos,449.8131448047136,449.8131448047136,72.00929333944438,16.01,417.9277459065755,92.91,31.885398898138085,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,Impostos,479.4988496000245,479.4988496000245,56.145719634823834,11.71,56.145719634823834,11.71,423.3531299652007,1,2019,2019-02-20,93.61720061986506
abril 2019,Impostos,473.18996336112457,473.18996336112457,110.78555595663072,23.41,166.19255232178926,35.12,306.9974110393353,2,2019,2019-04-20,94.86536798275618
junho 2019,Impostos,472.5275589271143,472.5275589271143,69.89597546075412,14.79,235.8558798143247,49.91,236.6716791127896,3,2019,2019-06-20,94.99835332762892
agosto 2019,Impostos,471.11096383293113,471.11096383293113,67.98150095854074,14.43,303.1303060722113,64.34,167.98065776071988,4,2019,2019-08-20,95.28400620266395
outubro 2019,Impostos,470.8281088102458,470.8281088102458,68.29666486693257,14.51,371.24497150337805,78.85,99.58313730686771,5,2019,2019-10-20,95.34124908861676
dezembro 2019,Impostos,463.03997627257746,463.03997627257746,72.88035286331562,15.74,437.98443135731634,94.59,25.05554491526114,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,Impostos,490.38763632512246,490.38763632512246,62.81074704923729,12.81,62.81074704923729,12.81,427.57688927588515,1,2020,2020-02-20,97.3923412056326
abril 2020,Impostos,491.563502511132,491.563502511132,108.33777123360137,22.04,171.29912777643577,34.85,320.2643747346962,2,2020,2020-04-20,97.15936955453364
junho 2020,Impostos,492.1485220667405,492.1485220667405,59.59457455147297,12.11,231.097568845858,46.96,261.05095322088255,3,2020,2020-06-20,97.04387569718891
agosto 2020,Impostos,489.1998830975707,489.1998830975707,70.86257406284528,14.49,300.5755541786229,61.44,188.62432891894775,4,2020,2020-08-20,97.62880501439999
outubro 2020,Impostos,481.8888104126728,481.8888104126728,71.88317008374533,14.92,367.9666346281909,76.36,113.92217578448188,5,2020,2020-10-20,99.11
fevereiro 2016,RECEITA PATRIMONIAL,40.97284259085289,40.97284259085289,7.563786372574319,18.46,7.563786372574319,18.46,33.40905621827858,1,2016,2016-02-20,83.58951401542743
abril 2016,RECEITA PATRIMONIAL,40.54779974556919,40.54779974556919,8.727804560966884,21.52,16.213125953382985,39.99,24.334673792186205,2,2016,2016-04-20,84.46574219786739
junho 2016,RECEITA PATRIMONIAL,40.090716563377306,40.090716563377306,7.648001420424799,19.08,23.67836166887308,59.06,16.41235489450423,3,2016,2016-06-20,85.42875492349346
agosto 2016,RECEITA PATRIMONIAL,39.70676295996387,39.70676295996387,7.2806903603218425,18.34,30.73228151808873,77.4,8.974481441875133,4,2016,2016-08-20,86.25482775952575
outubro 2016,RECEITA PATRIMONIAL,39.571842555966946,39.571842555966946,6.286882833835434,15.89,36.91473851790821,93.29,2.6571040380587228,5,2016,2016-10-20,86.54891404553938
dezembro 2016,RECEITA PATRIMONIAL,39.3821113996481,39.3821113996481,6.480425170684963,16.46,43.218172283295225,109.74,-3.8360608836471175,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,RECEITA PATRIMONIAL,45.31740981632464,45.31740981632464,9.084220923500068,20.05,6.524612497403404,14.4,38.79279731892124,1,2017,2017-02-20,87.5866475177533
abril 2017,RECEITA PATRIMONIAL,45.140830528975336,45.140830528975336,5.745369102669065,12.73,12.244558447476336,27.13,32.896272081499,2,2017,2017-04-20,87.92926389451829
junho 2017,RECEITA PATRIMONIAL,45.104396010430484,45.104396010430484,4.979998420256731,11.04,17.21467391727336,38.17,27.88972209315713,3,2017,2017-06-20,88.00029156985306
agosto 2017,RECEITA PATRIMONIAL,44.91065278363144,44.91065278363144,6.92284169991051,15.41,24.063571018252656,53.58,20.847081765378785,4,2017,2017-08-20,88.37992222296648
outubro 2017,RECEITA PATRIMONIAL,44.65047279707308,44.65047279707308,6.882735739547253,15.41,23.924164013544033,53.58,20.72630878352905,5,2017,2017-10-20,88.89491535821291
dezembro 2017,RECEITA PATRIMONIAL,44.329539486759025,44.329539486759025,3.4023523196794025,7.68,31.656727872268565,71.41,12.672811614490456,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,RECEITA PATRIMONIAL,41.77837271909508,41.77837271909508,2.058434555513481,4.93,2.058434555513481,4.93,39.7199381635816,1,2018,2018-02-20,90.08718518803816
abril 2018,RECEITA PATRIMONIAL,41.64894248484387,41.64894248484387,2.859515089147294,6.87,4.911572573239104,11.79,36.737369911604766,2,2018,2018-04-20,90.36714440875939
junho 2018,RECEITA PATRIMONIAL,40.9596691462967,40.9596691462967,2.325049081958044,5.68,7.15533709373907,17.47,33.804332052557626,3,2018,2018-06-20,91.88785159755834
agosto 2018,RECEITA PATRIMONIAL,40.86124429012822,40.86124429012822,3.5277503888413597,8.63,10.665893422204288,26.1,30.19535086792393,4,2018,2018-08-20,92.10918721115112
outubro 2018,RECEITA PATRIMONIAL,40.482117321106685,40.482117321106685,2.1376398417266556,5.28,12.704570838402363,31.38,27.77754648270433,5,2018,2018-10-20,92.97181691723601
dezembro 2018,RECEITA PATRIMONIAL,40.5062790728298,40.5062790728298,3.0098159854560835,7.43,15.721969546963347,38.81,24.784309525866448,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,RECEITA PATRIMONIAL,44.69168029269396,44.69168029269396,2.4769938586562947,5.54,2.4769938586562947,5.54,42.21468643403766,1,2019,2019-02-20,93.61720061986506
abril 2019,RECEITA PATRIMONIAL,44.10366068216291,44.10366068216291,2.112058154208815,4.79,4.556461585418304,10.33,39.54719909674461,2,2019,2019-04-20,94.86536798275618
junho 2019,RECEITA PATRIMONIAL,44.041921290683774,44.041921290683774,2.75395977757344,6.25,7.304042909112165,16.58,36.73787838157161,3,2019,2019-06-20,94.99835332762892
agosto 2019,RECEITA PATRIMONIAL,43.90988757442722,43.90988757442722,2.3752586191497937,5.41,9.657404664984302,21.99,34.25248290944292,4,2019,2019-08-20,95.28400620266395
outubro 2019,RECEITA PATRIMONIAL,43.88352407792753,43.88352407792753,33.441539191882406,76.21,43.09314555110585,98.2,0.7903785268216825,5,2019,2019-10-20,95.34124908861676
dezembro 2019,RECEITA PATRIMONIAL,43.15763134692111,43.15763134692111,4.048002066377847,9.38,46.428328814321915,107.58,-3.2706974674008054,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,RECEITA PATRIMONIAL,17.307315740988827,17.307315740988827,2.2684858405192805,13.11,2.2684858405192805,13.11,15.038829900469548,1,2020,2020-02-20,97.3923412056326
abril 2020,RECEITA PATRIMONIAL,17.348815741892047,17.348815741892047,0.9843490487689904,5.67,3.2582743326912436,18.78,14.090541409200803,2,2020,2020-04-20,97.15936955453364
junho 2020,RECEITA PATRIMONIAL,17.369462914482785,17.369462914482785,0.917933979450291,5.28,4.180086049590357,24.07,13.189376864892429,3,2020,2020-06-20,97.04387569718891
agosto 2020,RECEITA PATRIMONIAL,17.26539620915547,17.26539620915547,2.096905200978385,12.15,6.251946850214669,36.21,11.0134493589408,4,2020,2020-08-20,97.62880501439999
outubro 2020,RECEITA PATRIMONIAL,17.007365553425487,17.007365553425487,1.0235788921400464,6.02,7.182090646756129,42.23,9.825274906669359,5,2020,2020-10-20,99.11
fevereiro 2016,Contribuições Sociais,20.250147640379776,20.250147640379776,2.9061917378197095,14.35,2.9061917378197095,14.35,17.343955902560065,1,2016,2016-02-20,83.58951401542743
abril 2016,Contribuições Sociais,20.04007726629244,20.04007726629244,3.202299180256647,15.98,6.078342753412315,30.33,13.961734512880122,2,2016,2016-04-20,84.46574219786739
junho 2016,Contribuições Sociais,19.8141714872927,19.8141714872927,3.1788053945442543,16.04,9.188628813600177,46.37,10.625542673692523,3,2016,2016-06-20,85.42875492349346
agosto 2016,Contribuições Sociais,19.624408789258325,19.624408789258325,3.18699976732191,16.24,12.287627980138783,62.61,7.336780809119541,4,2016,2016-08-20,86.25482775952575
outubro 2016,Contribuições Sociais,19.55772661814513,19.55772661814513,3.1938809521579055,16.33,15.439756555430414,78.94,4.117970062714711,5,2016,2016-10-20,86.54891404553938
dezembro 2016,Contribuições Sociais,19.463955142101764,19.463955142101764,4.694927779903194,24.12,20.060656878552944,103.07,-0.5967017364511746,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,Contribuições Sociais,20.59788850388776,20.59788850388776,4.119577700777552,20.0,3.1022163617453837,15.06,17.495672142142375,1,2017,2017-02-20,87.5866475177533
abril 2017,Contribuições Sociais,20.51762883133236,20.51762883133236,3.126346381447846,15.24,6.216474957139689,30.3,14.301153874192671,2,2017,2017-04-20,87.92926389451829
junho 2017,Contribuições Sociais,20.50106843757373,20.50106843757373,3.1559284639363807,15.39,9.367385917643913,45.69,11.133682519929813,3,2017,2017-06-20,88.00029156985306
agosto 2017,Contribuições Sociais,20.413007328164234,20.413007328164234,3.108469255120134,15.23,12.435618128597964,60.92,7.9773891995662725,4,2017,2017-08-20,88.37992222296648
outubro 2017,Contribuições Sociais,20.294749061070128,20.294749061070128,3.0904610223538316,15.23,12.36357511080592,60.92,7.931173950264209,5,2017,2017-10-20,88.89491535821291
dezembro 2017,Contribuições Sociais,20.148876899138855,20.148876899138855,4.623866025937398,22.95,20.022672692659295,99.37,0.12620420647955966,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,Contribuições Sociais,19.959553584084595,19.959553584084595,3.0322759938587978,15.19,3.0322759938587978,15.19,16.927277590225803,1,2018,2018-02-20,90.08718518803816
abril 2018,Contribuições Sociais,19.89771848789003,19.89771848789003,3.093726938359478,15.55,6.116608880543781,30.74,13.78110960734625,2,2018,2018-04-20,90.36714440875939
junho 2018,Contribuições Sociais,19.568419206002847,19.568419206002847,3.032338880011468,15.5,9.0477203302258,46.24,10.520698875777045,3,2018,2018-06-20,91.88785159755834
