,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
agosto 2018,Contribuições Sociais,19.5213968817034,19.5213968817034,3.0372722034630115,15.56,12.06325113316689,61.8,7.4581457485365075,4,2018,2018-08-20,92.10918721115112
outubro 2018,Contribuições Sociais,19.3402695528762,19.3402695528762,2.9887072041128047,15.45,14.940030667965718,77.25,4.400238884910481,5,2018,2018-10-20,92.97181691723601
dezembro 2018,Contribuições Sociais,19.35181279275884,19.35181279275884,4.4630681286549745,23.06,19.41201575392487,100.31,-0.0602029611660342,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,Contribuições Sociais,19.684416835777164,19.684416835777164,2.912252611643975,14.79,2.912252611643975,14.79,16.77216422413319,1,2019,2019-02-20,93.61720061986506
abril 2019,Contribuições Sociais,19.425424042364632,19.425424042364632,2.9811860957668666,15.35,5.855121471736289,30.14,13.570302570628343,2,2019,2019-04-20,94.86536798275618
junho 2019,Contribuições Sociais,19.39823097401045,19.39823097401045,2.964604628763509,15.28,8.81152969160516,45.42,10.58670128240529,3,2019,2019-06-20,94.99835332762892
agosto 2019,Contribuições Sociais,19.340076823391154,19.340076823391154,2.97659116469927,15.39,11.76170468332667,60.82,7.578372140064484,4,2019,2019-08-20,95.28400620266395
outubro 2019,Contribuições Sociais,19.32846504126639,19.32846504126639,2.9493262956796404,15.26,14.70396925151444,76.07,4.624495789751948,5,2019,2019-10-20,95.34124908861676
dezembro 2019,Contribuições Sociais,19.00874613605604,19.00874613605604,4.344289498540236,22.85,18.805035248276138,98.93,0.20371088777989946,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,Contribuições Sociais,19.411177271202764,19.411177271202764,2.92824518303608,15.09,2.92824518303608,15.09,16.482932088166685,1,2020,2020-02-20,97.3923412056326
abril 2020,Contribuições Sociais,19.457721974398975,19.457721974398975,3.010334601191864,15.47,5.9456012183751845,30.56,13.51212075602379,2,2020,2020-04-20,97.15936955453364
junho 2020,Contribuições Sociais,19.480878998475145,19.480878998475145,3.023660399916404,15.52,8.9763375972136,46.08,10.504541401261546,3,2020,2020-06-20,97.04387569718891
agosto 2020,Contribuições Sociais,19.364162039278842,19.364162039278842,3.0322454213829175,15.66,11.954802548570076,61.74,7.4093594907087645,4,2020,2020-08-20,97.62880501439999
outubro 2020,Contribuições Sociais,19.074765412168297,19.074765412168297,3.0171231056401977,15.82,14.793261608313994,77.55,4.281503803854304,5,2020,2020-10-20,99.11
fevereiro 2016,RECEITA DE SERVIÇOS,231.047879958191,231.047879958191,35.030990663010215,15.16,35.030990663010215,15.16,196.01688929518076,1,2016,2016-02-20,83.58951401542743
abril 2016,RECEITA DE SERVIÇOS,228.65104239251716,228.65104239251716,38.00971677344783,16.62,72.67730399644783,31.79,155.9737383960693,2,2016,2016-04-20,84.46574219786739
junho 2016,RECEITA DE SERVIÇOS,226.073527786939,226.073527786939,42.35278588854847,18.73,114.21082044023555,50.52,111.86270734670346,3,2016,2016-06-20,85.42875492349346
agosto 2016,RECEITA DE SERVIÇOS,223.9083944825002,223.9083944825002,38.75261978748606,17.31,151.86962949506702,67.83,72.03876498743314,4,2016,2016-08-20,86.25482775952575
outubro 2016,RECEITA DE SERVIÇOS,223.1475716707202,223.1475716707202,39.06651725544396,17.51,190.42010589905712,85.33,32.727465771663084,5,2016,2016-10-20,86.54891404553938
dezembro 2016,RECEITA DE SERVIÇOS,222.07766832358774,222.07766832358774,40.43309674366541,18.21,229.9402144029789,103.54,-7.862546079391153,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,RECEITA DE SERVIÇOS,254.73503133542826,254.73503133542826,50.947006267085655,20.0,38.565655356489486,15.14,216.16937597893877,1,2017,2017-02-20,87.5866475177533
abril 2017,RECEITA DE SERVIÇOS,253.7424562858298,253.7424562858298,41.47032949547219,16.34,79.88571377586514,31.48,173.85674250996468,2,2017,2017-04-20,87.92926389451829
junho 2017,RECEITA DE SERVIÇOS,253.53765313708783,253.53765313708783,42.61031114906635,16.81,122.43154676877157,48.29,131.10610636831626,3,2017,2017-06-20,88.00029156985306
agosto 2017,RECEITA DE SERVIÇOS,252.44859736029665,252.44859736029665,42.89215141462207,16.99,164.79780082014116,65.28,87.65079654015547,4,2017,2017-08-20,88.37992222296648
outubro 2017,RECEITA DE SERVIÇOS,250.9860919501812,250.9860919501812,42.64366517167477,16.99,163.84308101660588,65.28,87.14301093357531,5,2017,2017-10-20,88.89491535821291
dezembro 2017,RECEITA DE SERVIÇOS,249.18208423679275,249.18208423679275,45.778462066495266,18.37,250.53972798149684,100.54,-1.3576437447041023,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,RECEITA DE SERVIÇOS,262.6163860111524,262.6163860111524,42.543731353134795,16.2,42.543731353134795,16.2,220.07265465801757,1,2018,2018-02-20,90.08718518803816
abril 2018,RECEITA DE SERVIÇOS,261.80279519496213,261.80279519496213,43.254866263330925,16.52,85.66679628585909,32.72,176.13599890910302,2,2018,2018-04-20,90.36714440875939
junho 2018,RECEITA DE SERVIÇOS,257.4700636556036,257.4700636556036,44.91771161520631,17.45,129.16675668925294,50.17,128.30330696635062,3,2018,2018-06-20,91.88785159755834
agosto 2018,RECEITA DE SERVIÇOS,256.85137081674105,256.85137081674105,43.862951735078155,17.08,172.71932458300952,67.24,84.13204623373154,4,2018,2018-08-20,92.10918721115112
outubro 2018,RECEITA DE SERVIÇOS,254.46820105775498,254.46820105775498,42.567526764837325,16.73,213.68429236663582,83.97,40.78390869111915,5,2018,2018-10-20,92.97181691723601
dezembro 2018,RECEITA DE SERVIÇOS,254.62008040355636,254.62008040355636,43.2884316624287,17.0,257.1002614989636,100.97,-2.4801810954072554,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,RECEITA DE SERVIÇOS,276.822526505892,276.822526505892,42.17711660737427,15.24,42.17711660737427,15.24,234.64540989851767,1,2019,2019-02-20,93.61720061986506
abril 2019,RECEITA DE SERVIÇOS,273.1803033190223,273.1803033190223,43.556936128167315,15.94,85.17911786805922,31.18,188.00118545096308,2,2019,2019-04-20,94.86536798275618
junho 2019,RECEITA DE SERVIÇOS,272.7978864078151,272.7978864078151,42.04192370814944,15.41,127.10180188447872,46.59,145.69608452333642,3,2019,2019-06-20,94.99835332762892
agosto 2019,RECEITA DE SERVIÇOS,271.9800628961743,271.9800628961743,42.15239472044478,15.5,168.873156842036,62.09,103.10690605413828,4,2019,2019-08-20,95.28400620266395
outubro 2019,RECEITA DE SERVIÇOS,271.8167660664114,271.8167660664114,44.01428833913845,16.19,212.78605373780647,78.28,59.0307123286049,5,2019,2019-10-20,95.34124908861676
dezembro 2019,RECEITA DE SERVIÇOS,267.3205498030388,267.3205498030388,45.53674227816507,17.03,254.8030274259757,95.32,12.517522377063063,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,RECEITA DE SERVIÇOS,280.25201635076263,280.25201635076263,41.49585115185906,14.81,41.49585115185906,14.81,238.75616519890357,1,2020,2020-02-20,97.3923412056326
abril 2020,RECEITA DE SERVIÇOS,280.92401304312904,280.92401304312904,40.973899493713205,14.59,82.56925064233974,29.39,198.3547624007893,2,2020,2020-04-20,97.15936955453364
junho 2020,RECEITA DE SERVIÇOS,281.25834632953183,281.25834632953183,43.16707335629781,15.35,125.834591315212,44.74,155.42375501431988,3,2020,2020-06-20,97.04387569718891
agosto 2020,RECEITA DE SERVIÇOS,279.573226323667,279.573226323667,39.518128573129,14.14,164.59879955131868,58.88,114.97442677234828,4,2020,2020-08-20,97.62880501439999
outubro 2020,RECEITA DE SERVIÇOS,275.3950156391888,275.3950156391888,41.41230910099888,15.04,203.55118617697508,73.91,71.84382946221369,5,2020,2020-10-20,99.11
fevereiro 2016,TRANSFERÊNCIAS CORRENTES,880.2300248619739,880.2300248619739,167.85751825773733,19.07,167.85751825773733,19.07,712.3725066042366,1,2016,2016-02-20,83.58951401542743
abril 2016,TRANSFERÊNCIAS CORRENTES,871.0987210369617,871.0987210369617,143.44745492931827,16.47,309.5636578998791,35.54,561.5350631370826,2,2016,2016-04-20,84.46574219786739
junho 2016,TRANSFERÊNCIAS CORRENTES,861.2790864843281,861.2790864843281,130.28943744958,15.13,436.3634771030511,50.66,424.91560938127714,3,2016,2016-06-20,85.42875492349346
agosto 2016,TRANSFERÊNCIAS CORRENTES,853.0305133195776,853.0305133195776,128.63338950641716,15.08,560.8177612256352,65.74,292.2127520939424,4,2016,2016-08-20,86.25482775952575
outubro 2016,TRANSFERÊNCIAS CORRENTES,850.1319838777587,850.1319838777587,117.4577709623375,13.82,676.3699183007489,79.56,173.76206557700982,5,2016,2016-10-20,86.54891404553938
dezembro 2016,TRANSFERÊNCIAS CORRENTES,846.0559410678584,846.0559410678584,147.6903337260169,17.46,820.8173288164809,97.02,25.23861225137742,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,TRANSFERÊNCIAS CORRENTES,876.275347614409,876.275347614409,175.2550695228818,20.0,157.69184580561148,18.0,718.5835018087976,1,2017,2017-02-20,87.5866475177533
abril 2017,TRANSFERÊNCIAS CORRENTES,872.8609407224296,872.8609407224296,137.11064817354398,15.71,294.1880477019739,33.7,578.6728930204557,2,2017,2017-04-20,87.92926389451829
junho 2017,TRANSFERÊNCIAS CORRENTES,872.1564284713444,872.1564284713444,140.7401963113823,16.14,434.69079601441456,49.84,437.4656324569298,3,2017,2017-06-20,88.00029156985306
agosto 2017,TRANSFERÊNCIAS CORRENTES,868.4101328622314,868.4101328622314,131.42767123845204,15.13,564.2512790200344,64.98,304.15885384219695,4,2017,2017-08-20,88.37992222296648
outubro 2017,TRANSFERÊNCIAS CORRENTES,863.3791898077233,863.3791898077233,130.66627393921974,15.13,560.9824133703131,64.98,302.39677643741,5,2017,2017-10-20,88.89491535821291
dezembro 2017,TRANSFERÊNCIAS CORRENTES,857.1734964727261,857.1734964727261,132.96666404699752,15.51,824.6867982321279,96.21,32.48669824059822,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,TRANSFERÊNCIAS CORRENTES,887.142936403033,887.142936403033,177.34863802938995,19.99,177.34863802938995,19.99,709.7942983736431,1,2018,2018-02-20,90.08718518803816
abril 2018,TRANSFERÊNCIAS CORRENTES,884.3945498431978,884.3945498431978,128.19226274983538,14.49,304.9914711516375,34.49,579.4030786915602,2,2018,2018-04-20,90.36714440875939
junho 2018,TRANSFERÊNCIAS CORRENTES,869.7581738011128,869.7581738011128,143.0515382443579,16.45,442.9955225450243,50.93,426.7626512560884,3,2018,2018-06-20,91.88785159755834
agosto 2018,TRANSFERÊNCIAS CORRENTES,867.6681710022139,867.6681710022139,132.31526958392848,15.25,574.2462871781428,66.18,293.42188382407113,4,2018,2018-08-20,92.10918721115112
outubro 2018,TRANSFERÊNCIAS CORRENTES,859.6175986443869,859.6175986443869,135.3036437181632,15.74,704.2218441453523,81.92,155.3957544990346,5,2018,2018-10-20,92.97181691723601
dezembro 2018,TRANSFERÊNCIAS CORRENTES,860.1306614081378,860.1306614081378,133.37928183250182,15.51,838.0214407855323,97.43,22.109220622605545,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,TRANSFERÊNCIAS CORRENTES,908.6931614781563,908.6931614781563,182.0090152790189,20.03,182.0090152790189,20.03,726.6841461991374,1,2019,2019-02-20,93.61720061986506
abril 2019,TRANSFERÊNCIAS CORRENTES,896.7372583792978,896.7372583792978,150.44256107870893,16.78,330.05683824144796,36.81,566.6804201378498,2,2019,2019-04-20,94.86536798275618
junho 2019,TRANSFERÊNCIAS CORRENTES,895.4819427934106,895.4819427934106,126.65251856003201,14.14,456.24732013533105,50.95,439.2346226580795,3,2019,2019-06-20,94.99835332762892
agosto 2019,TRANSFERÊNCIAS CORRENTES,892.7973685222908,892.7973685222908,143.35682038753433,16.06,598.2363521193585,67.01,294.56101640293235,4,2019,2019-08-20,95.28400620266395
outubro 2019,TRANSFERÊNCIAS CORRENTES,892.2613329822299,892.2613329822299,142.05116695515375,15.92,739.9283379686996,82.93,152.33299501353022,5,2019,2019-10-20,95.34124908861676
dezembro 2019,TRANSFERÊNCIAS CORRENTES,877.5021259819042,877.5021259819042,166.55503067398993,18.98,894.243955029431,101.91,-16.74182904752676,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,TRANSFERÊNCIAS CORRENTES,920.3226751757785,920.3226751757785,185.9278181819983,20.2,185.9278181819983,20.2,734.3948569937801,1,2020,2020-02-20,97.3923412056326
abril 2020,TRANSFERÊNCIAS CORRENTES,922.5294524959954,922.5294524959954,159.39725187602713,17.28,345.77089335829675,37.48,576.7585591376985,2,2020,2020-04-20,97.15936955453364
junho 2020,TRANSFERÊNCIAS CORRENTES,923.6273732479998,923.6273732479998,149.41233740750124,16.18,495.59473962140163,53.66,428.0326336265982,3,2020,2020-06-20,97.04387569718891
agosto 2020,TRANSFERÊNCIAS CORRENTES,918.0935891490166,918.0935891490166,174.53723325289772,19.01,667.1626863751212,72.67,250.93090277389544,4,2020,2020-08-20,97.62880501439999
outubro 2020,TRANSFERÊNCIAS CORRENTES,904.3727171829281,904.3727171829281,163.3441730097871,18.06,820.5361397235395,90.73,83.83657745938855,5,2020,2020-10-20,99.11
fevereiro 2016,OUTRAS RECEITAS CORRENTES,103.63740119844627,103.63740119844627,12.392067213225122,11.96,12.392067213225122,11.96,91.24533398522115,1,2016,2016-02-20,83.58951401542743
abril 2016,OUTRAS RECEITAS CORRENTES,102.56229063501588,102.56229063501588,11.536265894844671,11.25,23.799780652975258,23.21,78.76250998204063,2,2016,2016-04-20,84.46574219786739
junho 2016,OUTRAS RECEITAS CORRENTES,101.40613670137454,101.40613670137454,13.247115786873998,13.06,36.778608652482454,36.27,64.62752804889207,3,2016,2016-06-20,85.42875492349346
agosto 2016,OUTRAS RECEITAS CORRENTES,100.43495796144907,100.43495796144907,12.66262336115301,12.61,49.08899886513761,48.88,51.34595909631147,4,2016,2016-08-20,86.25482775952575
outubro 2016,OUTRAS RECEITAS CORRENTES,100.0936880090927,100.0936880090927,17.31352605084742,17.3,66.2357244249612,66.17,33.85796358413151,5,2016,2016-10-20,86.54891404553938
dezembro 2016,OUTRAS RECEITAS CORRENTES,99.61377881256432,99.61377881256432,14.643141050034531,14.7,80.56129167066781,80.87,19.0524871418965,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,OUTRAS RECEITAS CORRENTES,88.69008256567255,88.69008256567255,17.738016513134514,20.0,11.403727980312821,12.86,77.28635458535973,1,2017,2017-02-20,87.5866475177533
abril 2017,OUTRAS RECEITAS CORRENTES,88.34450165895542,88.34450165895542,27.149754749042394,30.73,38.50904810327993,43.59,49.83545355567549,2,2017,2017-04-20,87.92926389451829
junho 2017,OUTRAS RECEITAS CORRENTES,88.27319616133143,88.27319616133143,12.038262988698058,13.64,50.51622928398239,57.23,37.75696687734904,3,2017,2017-06-20,88.00029156985306
agosto 2017,OUTRAS RECEITAS CORRENTES,87.8940239436122,87.8940239436122,14.436182923777814,16.42,64.73542277584461,73.65,23.158601167767586,4,2017,2017-08-20,88.37992222296648
outubro 2017,OUTRAS RECEITAS CORRENTES,87.38482925258015,87.38482925258015,14.35255007396915,16.42,64.36039234578577,73.65,23.02443690679438,5,2017,2017-10-20,88.89491535821291
dezembro 2017,OUTRAS RECEITAS CORRENTES,86.75673506305797,86.75673506305797,13.40484662494277,15.45,87.9032361903966,101.32,-1.1465011273386085,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,OUTRAS RECEITAS CORRENTES,50.60320167052247,50.60320167052247,8.167366684442669,16.14,8.167366684442669,16.14,42.435834986079804,1,2018,2018-02-20,90.08718518803816
abril 2018,OUTRAS RECEITAS CORRENTES,50.44643193968316,50.44643193968316,6.057832086889946,12.01,14.19989610599688,28.15,36.24653583368629,2,2018,2018-04-20,90.36714440875939
junho 2018,OUTRAS RECEITAS CORRENTES,49.611563669654174,49.611563669654174,4.659271857558331,9.39,18.624165362959403,37.54,30.987398306694775,3,2018,2018-06-20,91.88785159755834
agosto 2018,OUTRAS RECEITAS CORRENTES,49.492348570502905,49.492348570502905,5.852938792784539,11.83,24.432350845101713,49.37,25.059997725401196,4,2018,2018-08-20,92.10918721115112
outubro 2018,OUTRAS RECEITAS CORRENTES,49.03313876352635,49.03313876352635,5.538439422544396,11.3,29.744097143564918,60.66,19.289041619961434,5,2018,2018-10-20,92.97181691723601
dezembro 2018,OUTRAS RECEITAS CORRENTES,49.062404192397366,49.062404192397366,7.217019312107731,14.71,36.978869220052786,75.37,12.083534972344578,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,OUTRAS RECEITAS CORRENTES,39.09719235103182,39.09719235103182,5.462754062435425,13.97,5.462754062435425,13.97,33.6344382885964,1,2019,2019-02-20,93.61720061986506
abril 2019,OUTRAS RECEITAS CORRENTES,38.582780816971216,38.582780816971216,4.220948218666956,10.94,9.611827460214403,24.91,28.970953356756805,2,2019,2019-04-20,94.86536798275618
junho 2019,OUTRAS RECEITAS CORRENTES,38.52876993958896,38.52876993958896,5.3010575063677186,13.76,14.899429657675391,38.67,23.62934028191357,3,2019,2019-06-20,94.99835332762892
agosto 2019,OUTRAS RECEITAS CORRENTES,38.413264154899366,38.413264154899366,6.862189049957468,17.86,21.716951558467816,56.54,16.69631259643155,4,2019,2019-08-20,95.28400620266395
outubro 2019,OUTRAS RECEITAS CORRENTES,38.39020083110076,38.39020083110076,5.806295462790349,15.12,27.510208163542462,71.66,10.879992667558302,5,2019,2019-10-20,95.34124908861676
dezembro 2019,OUTRAS RECEITAS CORRENTES,37.755175082583236,37.755175082583236,6.807632930942024,18.03,33.86278511267847,89.69,3.892389969904763,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,OUTRAS RECEITAS CORRENTES,46.13422312657316,46.13422312657316,4.777465109064351,10.36,4.777465109064351,10.36,41.35675801750882,1,2020,2020-02-20,97.3923412056326
abril 2020,OUTRAS RECEITAS CORRENTES,46.24484515081276,46.24484515081276,3.2749301324089606,7.08,8.06385079063578,17.44,38.180994360176975,2,2020,2020-04-20,97.15936955453364
junho 2020,OUTRAS RECEITAS CORRENTES,46.29988206592365,46.29988206592365,4.558619498879049,9.85,12.632067239617779,27.28,33.667814826305865,3,2020,2020-06-20,97.04387569718891
agosto 2020,OUTRAS RECEITAS CORRENTES,46.022482804509146,46.022482804509146,5.225020248120007,11.35,17.78140422536103,38.64,28.24107857914812,4,2020,2020-08-20,97.62880501439999
outubro 2020,OUTRAS RECEITAS CORRENTES,45.33467863989507,45.33467863989507,3.7390710422762585,8.25,21.254732892745434,46.88,24.07994574714963,5,2020,2020-10-20,99.11
