,Data,Homens,Mulheres,Total Casos Confirmados,Total Casos Descartados,Total Casos Recuperados,Total Casos Suspeitos,Total Casos em Tratamento,Total Ã“bitos
0,01/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
1,02/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
2,03/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
3,04/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
4,05/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
5,06/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
6,07/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
7,08/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
8,09/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
9,10/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
10,11/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
11,12/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
12,13/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
13,14/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
14,15/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
15,16/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
16,17/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
17,18/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
18,19/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
19,20/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
20,21/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
21,22/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
22,23/10/2020,NA,NA,NA,NA,NA,NA,NA,NA
23,24/10/2020,27,41,16.773,33.551,15.677,833,732,364
24,25/10/2020,31,37,16.841,33.712,15.765,827,712,364
25,26/10/2020,36,34,16.911,34.050,15.794,792,750,367
26,27/10/2020,19,15,16.945,34.342,15.813,840,765,367
27,28/10/2020,10,11,16.966,34.592,15.911,945,688,367
28,29/10/2020,18,15,16.999,34.949,16.032,886,600,367
29,30/10/2020,21,20,17.040,35.196,16.095,910,578,367
30,31/10/2020,20,21,17.081,35.469,16.184,771,530,367
31,01/11/2020,17,22,17.120,35.681,16.186,745,567,367
32,02/11/2020,07,05,17.132,35.932,16.328,842,437,367
33,03/11/2020,12,23,17.167,36.265,16.378,808,419,370
34,04/11/2020,20,21,17.208,36.546,16.462,817,376,370
35,05/11/2020,NA,NA,NA,NA,NA,NA,NA,NA
36,06/11/2020,30,21,17.290,37.031,16.558,941,362,370
37,07/11/2020,22,31,17.343,37.200,16.589,719,384,370
38,08/11/2020,17,31,17.391,37.385,16.623,871,398,370
39,09/11/2020,22,36,17.449,37.628,16.648,799,430,371
40,10/11/2020,25,36,17.510,38.008,16.664,715,475,371
41,11/11/2020,25,31,17.566,38.153,16.692,674,502,372
42,12/11/2020,31,25,17.622,38.274,16.704,801,545,373
43,13/11/2020,27,22,17.671,38.423,16.758,843,540,373
44,14/11/2020,19,19,17.709,38.615,16.779,1.001,557,373
45,15/11/2020,11,09,17.729,38.743,16.779,855,557,373
46,16/11/2020,27,18,17.774,38.876,16.911,816,490,373
47,17/11/2020,20,34,17.828,39.072,16.960,971,494,374
48,18/11/2020,23,25,17.876,39.153,16.976,946,525,375
49,19/11/2020,25,39,17.940,39.433,17.007,992,558,375
50,20/11/2020,23,31,17.994,39.622,17.065,1.058,554,375
51,21/11/2020,14,25,18.033,39.661,17.106,1.040,552,375
52,22/11/2020,22,31,18.086,39.812,17.208,933,503,375
53,23/11/2020,26,29,18.141,40.074,17.292,1.115,474,375
54,24/11/2020,39,42,18.222,40.200,17.327,1.053,520,375
55,25/11/2020,24,21,18.267,40.339,17.344,1.161,548,375
56,26/11/2020,25,40,18.332,40.559,17.364,1.081,593,375
57,27/11/2020,37,30,18.399,40.787,17.438,1.160,585,376
58,28/11/2020,43,35,18.477,4.1104,17.476,1.285,625,376
59,29/11/2020,29,45,18.551,41.346,17.503,1.264,672,376
60,30/11/2020,46,54,18.651,41.705,17.586,1.380,687,378
61,31/11/2020,NA,NA,NA,NA,NA,NA,NA,NA
62,01/12/2020,65,65,18.781,42.119,17.599,1.427,803,379
63,02/12/2020,51,66,18.898,42.474,17.651,1.316,867,380
64,03/12/2020,65,62,19.025,42.704,17.707,1.180,935,383
65,04/12/2020,45,56,19.126,43.092,17.787,1.197,955,384
66,05/12/2020,42,47,19.215,43.258,17.831,1.166,999,385
67,06/12/2020,13,20,19.248,43.521,17.937,1.136,926,386
68,07/12/2020,58,44,19.350,43.792,17.943,1.072,1.018,389
69,08/12/2020,47,57,19.454,43.847,18.053,1.120,1.012,389
70,09/12/2020,52,58,19.564,44.198,18.124,1.106,1.049,391
71,10/12/2020,62,43,19.669,44.490,18.175,1.261,1.101,393
72,11/12/2020,64,57,19.790,44.833,18.317,1.155,1.078,395
73,12/12/2020,53,77,19.920,45.256,18.512,1.172,1.012,396
74,13/12/2020,56,74,20.050,45.444,18.514,1.079,1.143,396
75,14/12/2020,62,61,20.173,45.496,18.524,1.153,1.250,399
76,15/12/2020,75,63,20.311,45.769,18.648,1.234,1.263,400
77,16/12/2020,56,62,20.429,45.946,18.791,1.237,1.236,402
78,17/12/2020,34,34,20.497,46.053,18.795,1.351,1.300,402
79,18/12/2020,54,51,20.602,46.344,18.997,1.461,1.202,403
80,19/12/2020,43,57,20.702,46.598,19.083,1.721,1.214,405
81,20/12/2020,52,65,20.819,46.861,19.223,1.579,1.191,405
82,21/12/2020,71,68,20.958,47.093,19297casos,1523,1254,407
83,22/12/2020,73,69,21.100,47.666,19.443,1339,1248,409
84,23/12/2020,66,82,21.248,48.010,19.471,1334,1368,409
85,24/12/2020,47,64,21.359,48.073,19.691,1309,1259,409
86,25/12/2020,48,53,21.460,48.360,19.969,1309,1079,412
87,26/12/2020,60,NA,21.588,48.536,19.972,1301,1204,412
88,27/12/2020,82,45,21715,48549,20018,1265,1285,412
89,28/12/2020,49,89,21.853,48.931,20226,1420,1214,413
90,29/12/2020,67,87,22007,49.224,20393,1373,1200,414
91,30/12/2020,48,74,22129,49.556,20448,1624,1266,415
92,31/12/2020,67,71,22.267,49.919,20.588,1.224,1.264,415
93,01/01/2020,78,71,22.416,50.209,20.599,1.111,1.402,415
94,02/01/2020,77,82,22575,50485,20747,1110,1413,415
95,03/01/2020,72,81,22728,50477,20855,1048,1457,416
96,04/01/2020,82,97,22907,50.945,20976,1442,1514,417
97,05/01/2020,NA,NA,NA,NA,NA,NA,NA,NA
98,06/01/2020,106,123,23.346,51.721,21.199,1.615,1.726,421
99,07/01/2020,142,134,23.622,51.973,21.429,1.911,1.772,421
100,08/01/2020,110,147,23.879,52.449,21.545,1.787,1.912,422
101,09/01/2020,139,154,24.172,52.852,21.664,1.502,2.085,423
102,10/01/2020,124,158,24.454,52.917,21.801,1.705,2.230,423
103,11/01/2020,141,143,24.738,53.093,22.109,1.801,2.204,425
104,12/01/2020,154,160,25.052,53.381,22.253,1.939,2.373,427
105,13/01/2020,123,171,25.346,53.969,22.288,2.063,2.629,429
106,14/01/2020,164,178,25.688,54.068,22.398,2.080,2.859,431
107,15/01/2020,169,193,26.050,54.602,22.665,2.308,2.953,432
108,16/01/2020,124,199,26.373,54.652,22.912,2.024,3029,432
109,17/01/2020,169,193,26.735,54.737,23.432,1.887,2.871,432
110,18/01/2020,NA,NA,NA,NA,NA,NA,NA,NA
111,19/01/2020,156,191,27.424,55.393,24.101,2.137,2.879,444
112,20/01/2020,141,169,27.734,55.865,24.181,2.368,3.107,446
113,21/01/2020,162,161,28.057,55.917,24.415,2.161,3.196,447
114,22/01/2020,181,159,28.397casos,56.238,24.664,2.030,3.285,448
115,23/01/2020,183,163,28.743,56.396,24.962,1.708,3.329,452
116,24/01/2020,156,200,29.099,57.030,25.310,2.217,3.334,455
117,25/01/2020,147,193,29.439,57.735,25.551,2.146,3.429,459
118,26/01/2020,139,181,29.759,58.337,25.888,2.742,3.409,462
119,27/01/2020,105,136,30.000,58.900,25.995,3.004,3.543,462
120,28/01/2020,117,141,30.258,59.344,26.238,3.188,3.556,464
121,29/01/2020,122,142,30.522,59.731,26.623,3.071,3.434,465
122,30/01/2020,113,139,30.774,60.029,27.367,3.143,2941pessoas,466
123,31/01/2020,119,148,31.041,60.189,27.554,3.224,3016,471
124,01/02/2020,120,124,31.285,60.647,27.858,3.475,2.951,476
125,02/02/2020,114,143,31.542,61.084,28.196,3.092,2.869,477
126,03/02/2020,114,130,31.786,61.569,28.549,3.307,2.758,479
127,04/02/2020,110,126,32.022,61.750,29.012,3.050,2.529,481
128,05/02/2020,112,103,32.237,61.871,29.413,3.156,2.340,484
129,06/02/2020,86,66,32.389,62.121,29.585,2.762,2.320,484
130,07/02/2020,74,88,32.551casos,62.493,29.836,2.908,2.229,486
131,08/02/2020,71,49,32.671,62.791,30.132,2.993,2.050,489
132,09/02/2020,88,72,32.831,63.171,30.415,2.461,1.924,492
133,10/02/2020,59,90,32.980,63.439,30.615,2.571,1.870,495
134,11/02/2020,71,89,33.140,63.690,30.857,2.427,1.785,498
135,12/02/2020,58,70,33.268,64.061,31.169,2.499,1.599,500
136,13/02/2020,46,83,33.397,64.239,31.334,2.199,1.561,502
137,14/02/2020,84,60,33.541,64.251,31.364,2.151,1.669,508
138,15/02/2020,55,69,33.665,64.393,31.364,1.957,1.791,510
139,16/02/2020,78,56,33.799,64.455,31.454,2113,1.834,511
140,17/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
141,18/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
142,19/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
143,20/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
144,21/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
145,22/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
146,23/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
147,24/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
148,25/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
149,26/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
150,27/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
151,28/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
152,29/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
153,30/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
154,31/02/2020,NA,NA,NA,NA,NA,NA,NA,NA
